NEW ENTRY
T: 70.05F | Pitch: 3.48 | Roll: 9.0 | Yaw: 0.85
T: 72.31F | Pitch: 4.58 | Roll: 6.95 | Yaw: -0.43
T: 66.72F | Pitch: 0.56 | Roll: 8.01 | Yaw: -0.4
T: 72.31F | Pitch: 0.31 | Roll: 1.43 | Yaw: 0.84
T: 33.84F | Pitch: -0.55 | Roll: -3.9 | Yaw: -2.05
T: 74.53F | Pitch: 0.05 | Roll: 1.98 | Yaw: 0.25
T: 74.04F | Pitch: -1.35 | Roll: 1.06 | Yaw: 0.45
T: 72.34F | Pitch: -1.51 | Roll: 8.25 | Yaw: -0.1
T: 112.94F | Pitch: 5.97 | Roll: -4.42 | Yaw: -1.15
T: 67.13F | Pitch: 3.43 | Roll: 7.4 | Yaw: 0.06
T: 69.65F | Pitch: 3.73 | Roll: 2.23 | Yaw: -0.34
T: 40.89F | Pitch: -21.55 | Roll: 10.08 | Yaw: 2.33
T: 73.31F | Pitch: -4.44 | Roll: 6.27 | Yaw: 0.62
T: 66.3F | Pitch: -0.69 | Roll: 4.9 | Yaw: -0.89
T: 68.83F | Pitch: 4.43 | Roll: 6.45 | Yaw: 0.26
T: 73.23F | Pitch: -3.53 | Roll: 4.75 | Yaw: -0.97
T: 69.82F | Pitch: 0.71 | Roll: 4.57 | Yaw: -0.1
T: 70.29F | Pitch: -2.07 | Roll: 9.21 | Yaw: -0.68
T: 69.56F | Pitch: -2.81 | Roll: 8.98 | Yaw: -0.46
T: 65.41F | Pitch: 0.32 | Roll: 9.39 | Yaw: 0.82
T: 72.92F | Pitch: 1.29 | Roll: 5.32 | Yaw: 0.43
T: 69.91F | Pitch: 3.61 | Roll: 3.91 | Yaw: 0.67
T: 65.75F | Pitch: 2.67 | Roll: 8.05 | Yaw: -0.71
T: 68.6F | Pitch: 1.82 | Roll: 3.97 | Yaw: -0.24
T: 66.55F | Pitch: 4.58 | Roll: 2.11 | Yaw: 0.68
T: 70.77F | Pitch: 4.02 | Roll: 1.23 | Yaw: 0.55
T: 74.01F | Pitch: 4.0 | Roll: 8.69 | Yaw: -0.75
T: 67.81F | Pitch: 3.33 | Roll: 0.38 | Yaw: -0.23
T: 67.27F | Pitch: -2.66 | Roll: 5.98 | Yaw: -0.71
T: 67.71F | Pitch: -2.0 | Roll: 8.48 | Yaw: 0.69
T: 71.02F | Pitch: 2.8 | Roll: 3.19 | Yaw: -0.51
T: 68.8F | Pitch: 4.2 | Roll: 8.98 | Yaw: 0.16
T: 74.09F | Pitch: 1.0 | Roll: 7.49 | Yaw: -0.52
T: 69.98F | Pitch: 0.18 | Roll: 8.43 | Yaw: 0.13
T: 68.27F | Pitch: 0.23 | Roll: 7.89 | Yaw: 0.22
T: 65.2F | Pitch: -2.71 | Roll: 2.81 | Yaw: -0.73
T: 71.01F | Pitch: 0.62 | Roll: 5.51 | Yaw: -0.71
T: 74.34F | Pitch: 4.01 | Roll: 5.44 | Yaw: 0.46
T: 66.38F | Pitch: 1.16 | Roll: 1.4 | Yaw: 0.22
T: 71.87F | Pitch: -0.26 | Roll: 8.19 | Yaw: -0.74
T: 67.39F | Pitch: -1.91 | Roll: 7.99 | Yaw: -0.93
T: 93.17F | Pitch: 12.35 | Roll: 8.75 | Yaw: 2.1
T: 74.29F | Pitch: -2.25 | Roll: 5.46 | Yaw: -0.77
T: 70.97F | Pitch: 2.38 | Roll: 1.27 | Yaw: -0.51
T: 69.89F | Pitch: -0.69 | Roll: 0.1 | Yaw: -0.67
T: 74.5F | Pitch: 3.19 | Roll: 1.89 | Yaw: 0.33
T: 73.62F | Pitch: 2.99 | Roll: 2.47 | Yaw: 0.91
T: 73.65F | Pitch: 3.85 | Roll: 8.08 | Yaw: 0.73
T: 66.72F | Pitch: -1.91 | Roll: 2.67 | Yaw: 0.46
T: 67.42F | Pitch: 0.02 | Roll: 9.3 | Yaw: -0.48
T: 74.01F | Pitch: 0.24 | Roll: 3.02 | Yaw: 0.99
T: 66.55F | Pitch: -3.73 | Roll: 8.84 | Yaw: -0.71
T: 99.67F | Pitch: 12.35 | Roll: -2.36 | Yaw: -2.37
T: 65.99F | Pitch: 1.74 | Roll: 7.28 | Yaw: -0.51
T: 66.6F | Pitch: 0.05 | Roll: 2.29 | Yaw: 0.83
T: 69.53F | Pitch: 4.98 | Roll: 9.92 | Yaw: 0.4
T: 72.83F | Pitch: -2.84 | Roll: 1.95 | Yaw: 0.03
T: 69.72F | Pitch: -1.29 | Roll: 3.64 | Yaw: -0.09
T: 67.73F | Pitch: -3.75 | Roll: 0.55 | Yaw: 0.85
T: 71.16F | Pitch: 3.5 | Roll: 3.48 | Yaw: -0.42
T: 71.64F | Pitch: -2.36 | Roll: 6.96 | Yaw: 0.68
T: 66.31F | Pitch: -2.12 | Roll: 7.28 | Yaw: -0.92
T: 70.39F | Pitch: 2.05 | Roll: 1.15 | Yaw: -0.44
T: 71.2F | Pitch: -1.8 | Roll: 3.14 | Yaw: -0.28
T: 68.24F | Pitch: -1.99 | Roll: 3.84 | Yaw: -0.2
T: 65.26F | Pitch: 4.2 | Roll: 4.52 | Yaw: 0.23
T: 69.93F | Pitch: -4.47 | Roll: 4.28 | Yaw: -0.85
T: 66.91F | Pitch: 2.92 | Roll: 7.92 | Yaw: -0.92
T: 68.73F | Pitch: -4.55 | Roll: 4.74 | Yaw: -0.81
T: 70.03F | Pitch: -2.94 | Roll: 2.11 | Yaw: -0.39
T: 70.07F | Pitch: -2.42 | Roll: 2.89 | Yaw: 0.58
T: 69.62F | Pitch: 0.93 | Roll: 8.94 | Yaw: -0.55
T: 74.85F | Pitch: -4.99 | Roll: 1.27 | Yaw: 0.76
T: 65.66F | Pitch: 3.05 | Roll: 2.0 | Yaw: -0.91
T: 73.79F | Pitch: -0.18 | Roll: 7.63 | Yaw: -0.72
T: 69.74F | Pitch: 2.75 | Roll: 7.46 | Yaw: 0.48
T: 71.96F | Pitch: 4.45 | Roll: 7.9 | Yaw: -0.07
T: 73.17F | Pitch: -0.91 | Roll: 1.27 | Yaw: -0.36
T: 49.8F | Pitch: 1.71 | Roll: 4.68 | Yaw: 3.77
T: 68.79F | Pitch: -0.9 | Roll: 1.37 | Yaw: -0.99
T: 74.14F | Pitch: 0.18 | Roll: 7.37 | Yaw: 0.76
T: 74.09F | Pitch: 2.13 | Roll: 0.19 | Yaw: 0.47
T: 73.29F | Pitch: 1.53 | Roll: 9.39 | Yaw: -0.7
T: 67.78F | Pitch: -4.62 | Roll: 5.13 | Yaw: -0.04
T: 71.25F | Pitch: 2.53 | Roll: 8.23 | Yaw: 0.29
T: 71.92F | Pitch: 2.92 | Roll: 2.64 | Yaw: -0.14
T: 73.32F | Pitch: -4.99 | Roll: 0.21 | Yaw: 0.5
T: 66.03F | Pitch: 0.36 | Roll: 3.69 | Yaw: -0.42
T: 65.46F | Pitch: 0.14 | Roll: 7.54 | Yaw: -0.68
T: 73.02F | Pitch: 3.8 | Roll: 4.37 | Yaw: 0.56
T: 71.08F | Pitch: 0.88 | Roll: 9.07 | Yaw: -0.29
T: 70.32F | Pitch: 0.02 | Roll: 9.81 | Yaw: -0.0
T: 68.5F | Pitch: -0.79 | Roll: 9.9 | Yaw: 0.18
T: 66.74F | Pitch: 4.19 | Roll: 6.98 | Yaw: 0.69
T: 70.65F | Pitch: 1.97 | Roll: 2.86 | Yaw: 0.59
T: 65.22F | Pitch: -0.86 | Roll: 9.04 | Yaw: -0.82
T: 72.71F | Pitch: -1.54 | Roll: 9.81 | Yaw: -0.15
T: 68.18F | Pitch: 3.18 | Roll: 1.54 | Yaw: 0.29
T: 65.01F | Pitch: -2.27 | Roll: 0.06 | Yaw: 0.32
T: 72.14F | Pitch: 4.35 | Roll: 2.49 | Yaw: 0.5
T: 74.12F | Pitch: 0.55 | Roll: 3.15 | Yaw: -0.82
T: 68.54F | Pitch: -3.91 | Roll: 2.17 | Yaw: 0.62
T: 70.45F | Pitch: -2.18 | Roll: 8.28 | Yaw: -0.19
T: 73.18F | Pitch: -3.8 | Roll: 1.19 | Yaw: 0.39
T: 74.2F | Pitch: 1.87 | Roll: 3.79 | Yaw: 0.37
T: 67.89F | Pitch: 3.66 | Roll: 5.49 | Yaw: -0.52
T: 69.81F | Pitch: 0.42 | Roll: 3.92 | Yaw: 0.59
T: 68.4F | Pitch: -4.34 | Roll: 6.51 | Yaw: -0.99
T: 68.86F | Pitch: 0.13 | Roll: 4.62 | Yaw: -0.33
T: 65.68F | Pitch: 3.79 | Roll: 6.74 | Yaw: 0.13
T: 73.83F | Pitch: 0.36 | Roll: 6.78 | Yaw: 0.66
T: 66.27F | Pitch: 0.4 | Roll: 9.22 | Yaw: 0.75
T: 69.59F | Pitch: -4.78 | Roll: 0.76 | Yaw: 0.59
T: 74.4F | Pitch: -4.03 | Roll: 7.43 | Yaw: -0.92
T: 74.56F | Pitch: -3.69 | Roll: 7.91 | Yaw: -0.89
T: 68.22F | Pitch: 3.19 | Roll: 7.31 | Yaw: 0.59
T: 67.29F | Pitch: 1.9 | Roll: 2.81 | Yaw: 0.63
T: 68.83F | Pitch: 2.22 | Roll: 2.4 | Yaw: 0.94
T: 67.13F | Pitch: 0.38 | Roll: 6.57 | Yaw: -0.39
T: 66.38F | Pitch: 3.9 | Roll: 1.03 | Yaw: 0.41
T: 68.62F | Pitch: 0.49 | Roll: 4.79 | Yaw: -0.02
T: 67.74F | Pitch: -0.98 | Roll: 3.14 | Yaw: 0.41
T: 72.44F | Pitch: -1.9 | Roll: 1.94 | Yaw: -0.91
T: 70.5F | Pitch: 1.69 | Roll: 8.21 | Yaw: -0.2
T: 68.6F | Pitch: 2.55 | Roll: 1.1 | Yaw: 0.78
T: 72.8F | Pitch: -3.57 | Roll: 5.74 | Yaw: 0.73
T: 70.51F | Pitch: -4.88 | Roll: 5.45 | Yaw: -0.55
T: 70.36F | Pitch: 4.47 | Roll: 6.2 | Yaw: -0.33
T: 74.85F | Pitch: 3.49 | Roll: 7.96 | Yaw: 0.25
T: 73.61F | Pitch: -4.06 | Roll: 2.62 | Yaw: 0.08
T: 66.41F | Pitch: 0.67 | Roll: 6.62 | Yaw: 0.02
T: 68.82F | Pitch: -3.16 | Roll: 3.54 | Yaw: 0.64
T: 74.58F | Pitch: 1.19 | Roll: 7.7 | Yaw: -0.76
T: 65.76F | Pitch: -3.09 | Roll: 3.27 | Yaw: 0.51
T: 72.01F | Pitch: 2.11 | Roll: 2.17 | Yaw: 0.76
T: 67.98F | Pitch: -2.28 | Roll: 7.0 | Yaw: 0.91
T: 72.09F | Pitch: 2.69 | Roll: 8.65 | Yaw: 0.4
T: 66.77F | Pitch: -4.64 | Roll: 4.51 | Yaw: 0.18
T: 68.11F | Pitch: 2.22 | Roll: 3.47 | Yaw: 0.44
T: 69.36F | Pitch: -2.67 | Roll: 9.41 | Yaw: -0.29
T: 74.6F | Pitch: -3.7 | Roll: 0.72 | Yaw: 0.7
T: 73.47F | Pitch: 2.86 | Roll: 2.55 | Yaw: -0.84
T: 66.04F | Pitch: -2.19 | Roll: 0.45 | Yaw: -0.08
T: 69.78F | Pitch: 1.56 | Roll: 1.37 | Yaw: -0.01
T: 72.8F | Pitch: -3.07 | Roll: 1.41 | Yaw: 0.0
T: 68.05F | Pitch: -3.04 | Roll: 5.2 | Yaw: 0.12
T: 69.27F | Pitch: -1.88 | Roll: 3.93 | Yaw: -0.34
T: 70.34F | Pitch: -4.86 | Roll: 0.16 | Yaw: 0.81
T: 67.86F | Pitch: 3.15 | Roll: 6.41 | Yaw: 0.0
T: 69.58F | Pitch: -1.41 | Roll: 7.73 | Yaw: -0.99
T: 71.75F | Pitch: 3.13 | Roll: 6.15 | Yaw: -0.86
T: 71.59F | Pitch: -4.06 | Roll: 0.88 | Yaw: -0.46
T: 73.09F | Pitch: -3.99 | Roll: 7.49 | Yaw: -0.33
T: 67.36F | Pitch: -3.59 | Roll: 1.76 | Yaw: -0.22
T: 73.95F | Pitch: -0.44 | Roll: 8.23 | Yaw: 0.68
T: 71.91F | Pitch: -0.87 | Roll: 5.18 | Yaw: -0.68
T: 74.28F | Pitch: 1.0 | Roll: 9.41 | Yaw: 0.02
T: 67.73F | Pitch: 3.31 | Roll: 5.13 | Yaw: -0.94
T: 71.95F | Pitch: -2.95 | Roll: 7.37 | Yaw: 0.39
T: 65.43F | Pitch: 0.37 | Roll: 9.65 | Yaw: -0.27
T: 69.94F | Pitch: -0.84 | Roll: 6.24 | Yaw: 0.42
T: 65.22F | Pitch: 0.11 | Roll: 0.17 | Yaw: -0.61
T: 69.76F | Pitch: 4.68 | Roll: 9.37 | Yaw: 0.95
T: 68.35F | Pitch: 2.42 | Roll: 2.96 | Yaw: 0.2
T: 72.58F | Pitch: 0.58 | Roll: 6.4 | Yaw: 0.97
T: 69.74F | Pitch: -0.75 | Roll: 2.45 | Yaw: 0.5
T: 73.88F | Pitch: 4.31 | Roll: 8.92 | Yaw: 0.78
T: 66.12F | Pitch: 2.5 | Roll: 5.36 | Yaw: -0.66
T: 66.69F | Pitch: 4.73 | Roll: 1.66 | Yaw: 0.72
T: 72.01F | Pitch: 4.27 | Roll: 7.63 | Yaw: 0.3
T: 74.53F | Pitch: -1.07 | Roll: 0.29 | Yaw: 0.25
T: 70.3F | Pitch: 0.87 | Roll: 9.23 | Yaw: 0.39
T: 35.04F | Pitch: 19.19 | Roll: 22.17 | Yaw: -3.82
T: 70.75F | Pitch: -4.69 | Roll: 4.37 | Yaw: -0.69
T: 70.84F | Pitch: -4.26 | Roll: 1.36 | Yaw: -0.81
T: 66.42F | Pitch: -1.23 | Roll: 7.71 | Yaw: -0.71
T: 69.46F | Pitch: -2.99 | Roll: 0.13 | Yaw: -0.29
T: 72.16F | Pitch: 1.29 | Roll: 8.83 | Yaw: -0.02
T: 67.76F | Pitch: -2.58 | Roll: 3.2 | Yaw: -0.47
T: 68.65F | Pitch: -4.06 | Roll: 5.6 | Yaw: 0.25
T: 74.59F | Pitch: -1.97 | Roll: 8.43 | Yaw: 0.67
T: 74.64F | Pitch: -1.54 | Roll: 1.03 | Yaw: -0.38
T: 71.07F | Pitch: 4.86 | Roll: 3.48 | Yaw: 0.91
T: 73.31F | Pitch: 2.76 | Roll: 1.7 | Yaw: 0.27
T: 71.96F | Pitch: -2.51 | Roll: 0.73 | Yaw: 0.57
T: 70.55F | Pitch: -0.37 | Roll: 1.75 | Yaw: -0.16
T: 65.52F | Pitch: -1.28 | Roll: 2.62 | Yaw: 0.29
T: 70.32F | Pitch: -0.99 | Roll: 0.9 | Yaw: 0.84
T: 67.9F | Pitch: 1.95 | Roll: 0.38 | Yaw: -0.31
T: 113.36F | Pitch: -0.21 | Roll: 12.54 | Yaw: -0.79
T: 67.55F | Pitch: -3.96 | Roll: 3.4 | Yaw: -0.54
T: 69.59F | Pitch: -2.69 | Roll: 9.25 | Yaw: 0.22
T: 73.85F | Pitch: -1.44 | Roll: 1.22 | Yaw: 0.8
T: 67.14F | Pitch: 2.69 | Roll: 5.13 | Yaw: -0.31
T: 68.97F | Pitch: -4.98 | Roll: 2.41 | Yaw: -0.69
T: 69.85F | Pitch: -2.14 | Roll: 1.0 | Yaw: 0.84
T: 68.76F | Pitch: -2.75 | Roll: 6.88 | Yaw: -0.14
T: 70.93F | Pitch: -2.61 | Roll: 1.82 | Yaw: 0.67
T: 69.53F | Pitch: -3.53 | Roll: 7.12 | Yaw: -0.62
T: 66.87F | Pitch: 4.89 | Roll: 1.29 | Yaw: -0.88
T: 72.41F | Pitch: -2.61 | Roll: 7.06 | Yaw: 0.19
T: 71.65F | Pitch: 2.94 | Roll: 5.38 | Yaw: -0.25
T: 68.52F | Pitch: -1.72 | Roll: 6.13 | Yaw: -0.24
T: 71.55F | Pitch: -0.46 | Roll: 8.24 | Yaw: -0.99
T: 67.84F | Pitch: 2.67 | Roll: 7.12 | Yaw: 0.45
T: 70.25F | Pitch: 0.13 | Roll: 0.38 | Yaw: 0.64
T: 66.65F | Pitch: -3.69 | Roll: 8.24 | Yaw: -0.52
T: 73.78F | Pitch: -4.78 | Roll: 8.08 | Yaw: 0.59
T: 65.32F | Pitch: -3.63 | Roll: 0.03 | Yaw: -0.37
T: 70.88F | Pitch: 4.84 | Roll: 7.04 | Yaw: 0.78
T: 65.33F | Pitch: -0.56 | Roll: 3.4 | Yaw: -0.96
T: 67.37F | Pitch: 2.51 | Roll: 1.62 | Yaw: -0.91
T: 73.22F | Pitch: 1.99 | Roll: 5.39 | Yaw: -0.41
T: 70.37F | Pitch: 1.33 | Roll: 6.31 | Yaw: -0.95
T: 74.51F | Pitch: -3.12 | Roll: 3.38 | Yaw: -0.32
T: 74.14F | Pitch: 1.33 | Roll: 9.85 | Yaw: 0.1
T: 69.77F | Pitch: -0.5 | Roll: 8.02 | Yaw: 0.9
T: 65.51F | Pitch: 2.16 | Roll: 0.11 | Yaw: 0.18
T: 73.46F | Pitch: -4.31 | Roll: 2.27 | Yaw: 0.33
T: 70.42F | Pitch: 3.16 | Roll: 1.65 | Yaw: -0.22
T: 72.83F | Pitch: 0.37 | Roll: 7.74 | Yaw: -0.33
T: 73.19F | Pitch: 3.4 | Roll: 6.46 | Yaw: 0.53
T: 67.86F | Pitch: 2.61 | Roll: 9.28 | Yaw: 0.23
T: 69.76F | Pitch: -0.67 | Roll: 9.17 | Yaw: -0.46
T: 74.75F | Pitch: 0.45 | Roll: 5.22 | Yaw: -0.49
T: 67.82F | Pitch: 2.84 | Roll: 7.94 | Yaw: -0.19
T: 74.91F | Pitch: 1.15 | Roll: 1.27 | Yaw: 0.03
T: 38.44F | Pitch: -13.03 | Roll: 27.43 | Yaw: 1.21
T: 67.17F | Pitch: 4.15 | Roll: 3.75 | Yaw: 0.7
T: 72.65F | Pitch: 3.8 | Roll: 9.3 | Yaw: 0.38
T: 72.84F | Pitch: -2.56 | Roll: 3.13 | Yaw: -0.77
T: 69.15F | Pitch: 1.6 | Roll: 4.63 | Yaw: -0.23
T: 65.33F | Pitch: -3.61 | Roll: 1.85 | Yaw: 0.43
T: 73.02F | Pitch: -4.77 | Roll: 6.15 | Yaw: 0.52
T: 69.76F | Pitch: -4.22 | Roll: 0.07 | Yaw: -0.07
T: 67.45F | Pitch: -4.04 | Roll: 9.52 | Yaw: -0.92
T: 66.57F | Pitch: -3.84 | Roll: 6.59 | Yaw: 0.84
T: 65.51F | Pitch: -2.43 | Roll: 0.09 | Yaw: -0.62
T: 68.1F | Pitch: 4.27 | Roll: 5.53 | Yaw: 0.22
T: 70.09F | Pitch: 3.75 | Roll: 7.78 | Yaw: 0.58
T: 72.97F | Pitch: 0.22 | Roll: 7.08 | Yaw: 0.63
T: 70.28F | Pitch: -3.09 | Roll: 8.95 | Yaw: -0.79
T: 73.38F | Pitch: -0.75 | Roll: 8.49 | Yaw: -0.12
T: 74.54F | Pitch: 2.18 | Roll: 6.61 | Yaw: -0.6
T: 68.73F | Pitch: -3.1 | Roll: 8.97 | Yaw: 0.04
T: 66.86F | Pitch: -4.56 | Roll: 1.86 | Yaw: -0.69
T: 72.85F | Pitch: 0.05 | Roll: 1.02 | Yaw: 0.69
T: 72.7F | Pitch: 3.22 | Roll: 1.77 | Yaw: -0.63
T: 71.58F | Pitch: 3.84 | Roll: 8.68 | Yaw: 0.74
T: 66.42F | Pitch: 2.71 | Roll: 1.85 | Yaw: 0.32
T: 67.72F | Pitch: 3.1 | Roll: 1.65 | Yaw: -0.16
T: 66.73F | Pitch: -1.97 | Roll: 2.49 | Yaw: 0.71
T: 73.45F | Pitch: -3.21 | Roll: 1.44 | Yaw: -0.57
T: 68.31F | Pitch: -4.21 | Roll: 6.29 | Yaw: -0.08
T: 70.31F | Pitch: 3.14 | Roll: 3.76 | Yaw: 0.87
T: 70.03F | Pitch: -4.27 | Roll: 8.15 | Yaw: -0.3
T: 68.96F | Pitch: -1.68 | Roll: 8.93 | Yaw: 0.76
T: 68.63F | Pitch: 2.49 | Roll: 6.63 | Yaw: -0.99
T: 70.31F | Pitch: 4.38 | Roll: 2.44 | Yaw: -0.78
T: 66.77F | Pitch: -0.99 | Roll: 1.61 | Yaw: -0.26
T: 74.99F | Pitch: 4.27 | Roll: 6.53 | Yaw: -0.48
T: 65.7F | Pitch: 1.61 | Roll: 7.02 | Yaw: 0.17
T: 71.15F | Pitch: 0.79 | Roll: 2.1 | Yaw: -0.32
T: 68.32F | Pitch: -4.28 | Roll: 4.01 | Yaw: 0.58
T: 74.73F | Pitch: -4.46 | Roll: 1.44 | Yaw: -0.64
T: 74.56F | Pitch: 2.99 | Roll: 0.83 | Yaw: -0.9
T: 36.3F | Pitch: -17.73 | Roll: 22.11 | Yaw: -1.91
T: 74.88F | Pitch: 3.13 | Roll: 5.78 | Yaw: 0.48
T: 69.58F | Pitch: 2.0 | Roll: 4.23 | Yaw: -0.83
T: 72.68F | Pitch: -1.38 | Roll: 8.96 | Yaw: -0.97
T: 71.96F | Pitch: 2.78 | Roll: 9.97 | Yaw: -0.71
T: 65.02F | Pitch: -3.39 | Roll: 5.38 | Yaw: -0.54
T: 70.88F | Pitch: 4.08 | Roll: 6.68 | Yaw: 0.91
T: 66.23F | Pitch: 0.29 | Roll: 5.72 | Yaw: 0.38
T: 72.56F | Pitch: 1.18 | Roll: 8.09 | Yaw: -0.77
T: 73.27F | Pitch: 4.97 | Roll: 3.95 | Yaw: 0.57
T: 66.86F | Pitch: -3.88 | Roll: 2.12 | Yaw: -0.05
T: 70.41F | Pitch: 1.97 | Roll: 6.96 | Yaw: -0.08
T: 70.29F | Pitch: 3.56 | Roll: 6.02 | Yaw: 0.81
T: 66.89F | Pitch: -2.73 | Roll: 6.87 | Yaw: 0.91
T: 74.59F | Pitch: 4.79 | Roll: 9.37 | Yaw: 0.99
T: 72.05F | Pitch: 1.43 | Roll: 5.97 | Yaw: 0.02
T: 45.11F | Pitch: -8.44 | Roll: -9.09 | Yaw: -2.58
T: 73.29F | Pitch: 4.68 | Roll: 3.77 | Yaw: 0.52
T: 74.53F | Pitch: -4.37 | Roll: 5.55 | Yaw: 0.88
T: 66.4F | Pitch: 2.01 | Roll: 3.51 | Yaw: 0.43
